caption,path,dataset,target
hipster girl eating pizza in the restaurant and smiling to the camera,cc/validation/7701_1993401887,imagenet512,pizza
order a pizza at home .,cc/validation/7701_1993401887,imagenet512,pizza
a small ham and mozzarella pizza with rocket,cc/validation/7701_1993401887,imagenet512,pizza
large pizza on a wooden table .,cc/validation/7701_1993401887,imagenet512,pizza
for the love of pizza,cc/validation/7701_1993401887,imagenet512,pizza
are you looking for a fun pizza inspired craft or activity for kids ? check out this list !,cc/validation/7701_1993401887,imagenet512,pizza
selective focus in the middle of pepperoni pizza,cc/validation/7701_1993401887,imagenet512,pizza
delivery man holding pizza while knocking on the door,cc/validation/7701_1993401887,imagenet512,pizza
young beautiful woman cook cutting the mushrooms on wooden board for pizza in the kitchen at home,cc/validation/7701_1993401887,imagenet512,pizza
"person orders a pizza , waitress asks if it should be cut into pieces better make it 4 as i 'm not that hungry bad joke eel",cc/validation/7701_1993401887,imagenet512,pizza
"pizza on the board , vector illustration .",cc/validation/7701_1993401887,imagenet512,pizza
an employee photographed with a pizza .,cc/validation/7701_1993401887,imagenet512,pizza
set of stickers with different pizza .,cc/validation/7701_1993401887,imagenet512,pizza
an illustration of a cartoon chef holding a tray with a pizza on it and pointing,cc/validation/7701_1993401887,imagenet512,pizza
young man taking a slice of pizza in a restaurant,cc/validation/7701_1993401887,imagenet512,pizza
female chef preparing a pizza .,cc/validation/7701_1993401887,imagenet512,pizza
"a pizza topped with ham , bacon and cheese , baking in the oven",cc/validation/7701_1993401887,imagenet512,pizza
"this file represents a chef with a pizza , in a dark grey circle",cc/validation/7701_1993401887,imagenet512,pizza
young man taking a slice of pizza in a restaurant,cc/validation/7701_1993401887,imagenet512,pizza
raw pizza in the making,cc/validation/7701_1993401887,imagenet512,pizza
fresh from the pizza oven,cc/validation/7701_1993401887,imagenet512,pizza
a full pizza for breakfast,cc/validation/7701_1993401887,imagenet512,pizza
handsome man sitting at the table and eating pizza over gray background,cc/validation/7701_1993401887,imagenet512,pizza
pizza is fresh and bright .,cc/validation/7701_1993401887,imagenet512,pizza
chef with pizza in the sign .,cc/validation/7701_1993401887,imagenet512,pizza
make a homemade pizza for your hardworking dad !,cc/validation/7701_1993401887,imagenet512,pizza
"from pizza to tacos and from soup to skewers , here are recipes where pork is the star !",cc/validation/7701_1993401887,imagenet512,pizza
placing baking tray with pizza topped with tomatoes and cheese to the oven,cc/validation/7701_1993401887,imagenet512,pizza
the chef roll the dough into pizza,cc/validation/7701_1993401887,imagenet512,pizza
vegetarian pizza on a white background,cc/validation/7701_1993401887,imagenet512,pizza
taking a slice of pizza,cc/validation/7701_1993401887,imagenet512,pizza
cheerful friends at a party eating pizza,cc/validation/7701_1993401887,imagenet512,pizza
young woman eating a slice of pizza,cc/validation/7701_1993401887,imagenet512,pizza
old man eating pizza on the table royalty free stock illustrations,cc/validation/7701_1993401887,imagenet512,pizza
"cut pieces of pizza with different flavors , without piece , on a wooden table -- stock photo #",cc/validation/7701_1993401887,imagenet512,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet512,pizza
making pizza at a restaurant,cc/validation/7701_1993401887,imagenet512,pizza
photo of young happy man holding remote control and pushing the button while eating pizza .,cc/validation/7701_1993401887,imagenet512,pizza
pizza on a white plate,cc/validation/7701_1993401887,imagenet512,pizza
is this heaven or just a pizza ?,cc/validation/7701_1993401887,imagenet512,pizza
finishing pizza with a drizzle of superlative olive oil .,cc/validation/7701_1993401887,imagenet512,pizza
different vegan pizza on a white background,cc/validation/7701_1993401887,imagenet512,pizza
the cook puts pizza on a shovel to put pizza in the oven .,cc/validation/7701_1993401887,imagenet512,pizza
christmas pizza on the wood board,cc/validation/7701_1993401887,imagenet512,pizza
smiling man eating pizza surrounded by friends in the house,cc/validation/7701_1993401887,imagenet512,pizza
vegetarian pizza in the opened cardboard box .,cc/validation/7701_1993401887,imagenet512,pizza
rotating pizza with salad on the wood table in day time,cc/validation/7701_1993401887,imagenet512,pizza
