caption,path,dataset,target
grabbing a slice of pizza isolated over white,cc/validation/7701_1993401887,imagenet170,pizza
domestic food and homemade pizza .,cc/validation/7701_1993401887,imagenet170,pizza
nothing beats a pizza made on the grill !,cc/validation/7701_1993401887,imagenet170,pizza
close - up of a spinning pizza,cc/validation/7701_1993401887,imagenet170,pizza
domestic food and homemade pizza .,cc/validation/7701_1993401887,imagenet170,pizza
a pizza topped with slices of tomatoes .,cc/validation/7701_1993401887,imagenet170,pizza
what kind of topping do you want on your pizza ? pizza .,cc/validation/7701_1993401887,imagenet170,pizza
pizza with ingredients on the wooden table,cc/validation/7701_1993401887,imagenet170,pizza
pizza with pepperoni and ham on a white,cc/validation/7701_1993401887,imagenet170,pizza
a pieces of pizza is on the wooden board,cc/validation/7701_1993401887,imagenet170,pizza
hands in the kitchen putting the ingredients on the pizza .,cc/validation/7701_1993401887,imagenet170,pizza
person fired pizza oven in traditional - patio,cc/validation/7701_1993401887,imagenet170,pizza
flame in a pizza oven,cc/validation/7701_1993401887,imagenet170,pizza
"half cheese , half olive - topped pizza .",cc/validation/7701_1993401887,imagenet170,pizza
the first pizza coming out of my heater 's black oven .,cc/validation/7701_1993401887,imagenet170,pizza
seamless pattern with the ingredients of pizza .,cc/validation/7701_1993401887,imagenet170,pizza
"despite conducting research all over the globe , one of his favourite offerings is actually inch pizza",cc/validation/7701_1993401887,imagenet170,pizza
cutting hot pizza straight from the oven for a family dinner,cc/validation/7701_1993401887,imagenet170,pizza
"couple cooking in the modern kitchen , preparing pizza",cc/validation/7701_1993401887,imagenet170,pizza
funny chef delivering pizza on a moped vector art illustration,cc/validation/7701_1993401887,imagenet170,pizza
person a slice of pizza,cc/validation/7701_1993401887,imagenet170,pizza
special pizza for the day,cc/validation/7701_1993401887,imagenet170,pizza
pizza on a board and ingredients on the table .,cc/validation/7701_1993401887,imagenet170,pizza
pizza served on a wooden platter .,cc/validation/7701_1993401887,imagenet170,pizza
"family , mom , dad and son eating pizza in the car",cc/validation/7701_1993401887,imagenet170,pizza
young man biting a piece of vegetarian pizza,cc/validation/7701_1993401887,imagenet170,pizza
a slice of pizza with different ingredients .,cc/validation/7701_1993401887,imagenet170,pizza
picture from the movie pizza,cc/validation/7701_1993401887,imagenet170,pizza
"from pizza to tacos and from soup to skewers , here are recipes where pork is the star !",cc/validation/7701_1993401887,imagenet170,pizza
fire inside a pizza oven,cc/validation/7701_1993401887,imagenet170,pizza
friends drink beer and talk while waiting for pizza in a restaurant .,cc/validation/7701_1993401887,imagenet170,pizza
adding pineapple to a the pizza,cc/validation/7701_1993401887,imagenet170,pizza
couple talking and eating pizza in cafe in the city,cc/validation/7701_1993401887,imagenet170,pizza
i asked for a slice of pepperoni pizza .,cc/validation/7701_1993401887,imagenet170,pizza
hand holding a slice of pizza,cc/validation/7701_1993401887,imagenet170,pizza
the classic pizza at restaurant,cc/validation/7701_1993401887,imagenet170,pizza
options for delivery of pizza .,cc/validation/7701_1993401887,imagenet170,pizza
seamless pattern with a picture of pizza and various food .,cc/validation/7701_1993401887,imagenet170,pizza
small boy eating slice of pizza and looking with interest aside .,cc/validation/7701_1993401887,imagenet170,pizza
"paddle for the oven , cutter for pizza , cook , rubbing cheese .",cc/validation/7701_1993401887,imagenet170,pizza
"happy baby : the parents had to prod the crying out of summer by taking away a slice of pizza she was eating , but they gave it back a few seconds later",cc/validation/7701_1993401887,imagenet170,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet170,pizza
chef on the scooter with pizza in his hand,cc/validation/7701_1993401887,imagenet170,pizza
"hot pizza on a paddle , straight from the oven",cc/validation/7701_1993401887,imagenet170,pizza
a vector illustration of a sliced pizza .,cc/validation/7701_1993401887,imagenet170,pizza
pizza on a white background,cc/validation/7701_1993401887,imagenet170,pizza
eating pizza at a party on the roof,cc/validation/7701_1993401887,imagenet170,pizza
"industry , low sided pans that are used in the oven for baking things such as cookies or pizza .",cc/validation/7701_1993401887,imagenet170,pizza
pizza from our features menu this week !,cc/validation/7701_1993401887,imagenet170,pizza
picture of a closeup pizza with cheese and pepperoni,cc/validation/7701_1993401887,imagenet170,pizza
"close up of pizza with ham , mushrooms , onion and pickles in a box",cc/validation/7701_1993401887,imagenet170,pizza
"stylish teen girls with a longboard eating pizza outside , red metal wall urban background .",cc/validation/7701_1993401887,imagenet170,pizza
pizza : let 's dig in to this inch dish of slices :),cc/validation/7701_1993401887,imagenet170,pizza
pizza in a cardboard box -- stock photo #,cc/validation/7701_1993401887,imagenet170,pizza
"pizza is a wonderful thing , so you should do everything you can to preserve its dignity .",cc/validation/7701_1993401887,imagenet170,pizza
make pizza a staple in your house with this easy how - to guide on making homemade pizza .,cc/validation/7701_1993401887,imagenet170,pizza
pieces of pizza on a white background .,cc/validation/7701_1993401887,imagenet170,pizza
we live in a society where pizza gets to your house before the police .,cc/validation/7701_1993401887,imagenet170,pizza
friends eating pizza on the streets,cc/validation/7701_1993401887,imagenet170,pizza
close up shot of a black baking sheet with dough and a person who is putting on different kinds of ingredients for pizza,cc/validation/7701_1993401887,imagenet170,pizza
close up shot of a typical pizza,cc/validation/7701_1993401887,imagenet170,pizza
business men and women eat pizza in the office,cc/validation/7701_1993401887,imagenet170,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet170,pizza
this is how my friend orders pizza from business .,cc/validation/7701_1993401887,imagenet170,pizza
hollywood : eating pizza : this is what pop artist does on vacation,cc/validation/7701_1993401887,imagenet170,pizza
a smiling man holding a slice of pizza in his hand,cc/validation/7701_1993401887,imagenet170,pizza
black and white illustration of a chef holding a pizza,cc/validation/7701_1993401887,imagenet170,pizza
side view of a friends are sitting on sofa and eating pizza in house,cc/validation/7701_1993401887,imagenet170,pizza
real world fractions ... what fraction of pizza has been eaten ... is left ?,cc/validation/7701_1993401887,imagenet170,pizza
card you have a pizza my heart .,cc/validation/7701_1993401887,imagenet170,pizza
ditch the delivery and whip up a homemade pizza with recipes and tips for pizza - making success .,cc/validation/7701_1993401887,imagenet170,pizza
a slice of pizza with different ingredients .,cc/validation/7701_1993401887,imagenet170,pizza
"a slice of homemade pizza with mozzarella , biological species and tomatoes .",cc/validation/7701_1993401887,imagenet170,pizza
hand holding a slice of pizza,cc/validation/7701_1993401887,imagenet170,pizza
hand throwing flour on the table and preparing pizza dough,cc/validation/7701_1993401887,imagenet170,pizza
a pizza with green peppers among the toppings,cc/validation/7701_1993401887,imagenet170,pizza
people walking and eating pizza in a bar on the street in the historical center,cc/validation/7701_1993401887,imagenet170,pizza
top view of slices of pepperoni pizza in a small cardboard box .,cc/validation/7701_1993401887,imagenet170,pizza
cheerful friends at a party eating pizza,cc/validation/7701_1993401887,imagenet170,pizza
are you a fan of food ? a city boasts some of the best pizza in the world .,cc/validation/7701_1993401887,imagenet170,pizza
kitchen : these guys know how to maker great wood - fired pizza .,cc/validation/7701_1993401887,imagenet170,pizza
girls my age are getting married and pregnant and i 'm over here still afraid to order pizza over the phone .,cc/validation/7701_1993401887,imagenet170,pizza
steak restaurant : child 's pizza - straight off the children 's menu .,cc/validation/7701_1993401887,imagenet170,pizza
hand drawn pizza with ingredients on the white background .,cc/validation/7701_1993401887,imagenet170,pizza
friends making pizza and drinking beer and wine in the kitchen,cc/validation/7701_1993401887,imagenet170,pizza
christmas pizza on the wood board,cc/validation/7701_1993401887,imagenet170,pizza
pizza for the kids with extra cheese .,cc/validation/7701_1993401887,imagenet170,pizza
add a counter beside your pizza oven to prepare the dough and toppings,cc/validation/7701_1993401887,imagenet170,pizza
"group of young friends enjoying a meal , eating pizza",cc/validation/7701_1993401887,imagenet170,pizza
a man about to take a bite out of his pizza,cc/validation/7701_1993401887,imagenet170,pizza
"if you love these flavors on pizza , it 's time to branch out to pasta .",cc/validation/7701_1993401887,imagenet170,pizza
a man 's hand takes a piece of pizza,cc/validation/7701_1993401887,imagenet170,pizza
young man on a scooter delivering pizza .,cc/validation/7701_1993401887,imagenet170,pizza
a boy is eating a piece of pizza during an out - door picnic,cc/validation/7701_1993401887,imagenet170,pizza
a homemade pizza from scratch,cc/validation/7701_1993401887,imagenet170,pizza
person fired pizza : not sure of the name but it was good !,cc/validation/7701_1993401887,imagenet170,pizza
friends drink beer and talk while waiting for pizza in a restaurant .,cc/validation/7701_1993401887,imagenet170,pizza
person of pizza holding an extra large pizza in oven,cc/validation/7701_1993401887,imagenet170,pizza
pizza served on a wooden platter .,cc/validation/7701_1993401887,imagenet170,pizza
picture from the movie pizza,cc/validation/7701_1993401887,imagenet170,pizza
a female hand sprinkles a pizza with grated cheese close - up .,cc/validation/7701_1993401887,imagenet170,pizza
portrait of a happy father being fed a piece of pizza by his son,cc/validation/7701_1993401887,imagenet170,pizza
young man taking a slice of pizza in a restaurant,cc/validation/7701_1993401887,imagenet170,pizza
gluten free pizza out of the oven,cc/validation/7701_1993401887,imagenet170,pizza
a photo of a pizza on a charcoal grill .,cc/validation/7701_1993401887,imagenet170,pizza
head chef showing another how to make pizza in a commercial kitchen,cc/validation/7701_1993401887,imagenet170,pizza
illustration of a pepperoni pizza -- stock vector #,cc/validation/7701_1993401887,imagenet170,pizza
the pizza sits on a base made of chips,cc/validation/7701_1993401887,imagenet170,pizza
a group takes a friday night tour and poses in our courtyard after stuffing themselves with pizza .,cc/validation/7701_1993401887,imagenet170,pizza
cooked pizza on the wooden board,cc/validation/7701_1993401887,imagenet170,pizza
friends eating pizza on the streets,cc/validation/7701_1993401887,imagenet170,pizza
this strawberry balsamic pizza was even better than i hoped !,cc/validation/7701_1993401887,imagenet170,pizza
what kind of topping do you want on your pizza ? pizza .,cc/validation/7701_1993401887,imagenet170,pizza
girl pouring herbs over homemade pizza .,cc/validation/7701_1993401887,imagenet170,pizza
a man with a slice of pizza in his hand as he looks at the camera,cc/validation/7701_1993401887,imagenet170,pizza
pattern seamless slices of pizza on a white background,cc/validation/7701_1993401887,imagenet170,pizza
"pizza with salami , cheese and cucumber on a white",cc/validation/7701_1993401887,imagenet170,pizza
"if you want to save your homes , resources , neighborhoods and possibly even souls , you must provide pizza .",cc/validation/7701_1993401887,imagenet170,pizza
a slice of pizza with different ingredients .,cc/validation/7701_1993401887,imagenet170,pizza
pretty girl sitting in the restaurant and eating pizza,cc/validation/7701_1993401887,imagenet170,pizza
a slice of pepperoni pizza,cc/validation/7701_1993401887,imagenet170,pizza
young man taking a slice of pizza in a restaurant,cc/validation/7701_1993401887,imagenet170,pizza
steak restaurant : child 's pizza - straight off the children 's menu .,cc/validation/7701_1993401887,imagenet170,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet170,pizza
pizza on a wooden background .,cc/validation/7701_1993401887,imagenet170,pizza
hands taking pieces of pizza from a cardboard box,cc/validation/7701_1993401887,imagenet170,pizza
put that pizza on the grill !,cc/validation/7701_1993401887,imagenet170,pizza
pizza in a box of hands,cc/validation/7701_1993401887,imagenet170,pizza
this is the pizza prior to going in the oven .,cc/validation/7701_1993401887,imagenet170,pizza
waitress serving a slice of all dressed pizza,cc/validation/7701_1993401887,imagenet170,pizza
pizza out of the oven,cc/validation/7701_1993401887,imagenet170,pizza
sunday lunch from the pizza oven,cc/validation/7701_1993401887,imagenet170,pizza
a slice of pizza with different ingredients .,cc/validation/7701_1993401887,imagenet170,pizza
pizza served on a plate,cc/validation/7701_1993401887,imagenet170,pizza
a slice of pizza with different ingredients .,cc/validation/7701_1993401887,imagenet170,pizza
illustration of a pepperoni pizza -- stock vector #,cc/validation/7701_1993401887,imagenet170,pizza
"everyone i know is either in a serious relationship , engaged , or married and i 'm just over here casually shoveling pizza in my face and watching production company all night",cc/validation/7701_1993401887,imagenet170,pizza
what 's the average price of pizza in your city ?,cc/validation/7701_1993401887,imagenet170,pizza
a whole pepperoni pizza on a white background,cc/validation/7701_1993401887,imagenet170,pizza
pizza and ingredients in circle shape and a ribbon with place for your text .,cc/validation/7701_1993401887,imagenet170,pizza
the best pizza is covered with biological species .,cc/validation/7701_1993401887,imagenet170,pizza
via - authenticstyle pizza on the east side !,cc/validation/7701_1993401887,imagenet170,pizza
"a woman sits alone on a deserted beach in bad weather , looks at the sea and eats pizza",cc/validation/7701_1993401887,imagenet170,pizza
beer and pizza goes down well after a race,cc/validation/7701_1993401887,imagenet170,pizza
family eating pizza on the floor in their new house,cc/validation/7701_1993401887,imagenet170,pizza
close up shot of a black baking sheet with dough and a person who is putting on different kinds of ingredients for pizza,cc/validation/7701_1993401887,imagenet170,pizza
creative use of pepperoni pizza in the most unusual situation makes it even better .,cc/validation/7701_1993401887,imagenet170,pizza
the best pizza is covered with biological species .,cc/validation/7701_1993401887,imagenet170,pizza
a family of four eating a pizza together in a cafe,cc/validation/7701_1993401887,imagenet170,pizza
file photo of a pizza .,cc/validation/7701_1993401887,imagenet170,pizza
how to get your family to eat healthy ? serve them quinoa disguised as pizza .,cc/validation/7701_1993401887,imagenet170,pizza
"family , mom , dad and son eating pizza in the car",cc/validation/7701_1993401887,imagenet170,pizza
close up shot of a black baking sheet with dough and a person who is putting on different kinds of ingredients for pizza,cc/validation/7701_1993401887,imagenet170,pizza
i want to build my own person - burning pizza oven .,cc/validation/7701_1993401887,imagenet170,pizza
"tasty pizza with pepperoni with a slice removed , top view isolated on white background",cc/validation/7701_1993401887,imagenet170,pizza
"pizza is baked in the oven , cooking pizza .",cc/validation/7701_1993401887,imagenet170,pizza
a pizza topped with slices of tomatoes .,cc/validation/7701_1993401887,imagenet170,pizza
person of pizza holding an extra large pizza in oven,cc/validation/7701_1993401887,imagenet170,pizza
restaurant making the first pizza,cc/validation/7701_1993401887,imagenet170,pizza
chefs rotate pizza dough in the air,cc/validation/7701_1993401887,imagenet170,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet170,pizza
cheese on a freshly prepared pizza on wooden board,cc/validation/7701_1993401887,imagenet170,pizza
people walking and eating pizza in a bar on the street in the historical center,cc/validation/7701_1993401887,imagenet170,pizza
fireplace with pizza oven - love the concept of this solution .,cc/validation/7701_1993401887,imagenet170,pizza
ingredients to prepare a home made pizza .,cc/validation/7701_1993401887,imagenet170,pizza
placing baking tray with pizza topped with tomatoes and cheese to the oven,cc/validation/7701_1993401887,imagenet170,pizza
old man eating pizza on the table royalty free stock illustrations,cc/validation/7701_1993401887,imagenet170,pizza
abstract background of pizza and ribbon in a flat style vector art illustration,cc/validation/7701_1993401887,imagenet170,pizza
"person orders a pizza , waitress asks if it should be cut into pieces better make it 4 as i 'm not that hungry bad joke eel",cc/validation/7701_1993401887,imagenet170,pizza
hand taking slice of pizza from the table .,cc/validation/7701_1993401887,imagenet170,pizza
little girl with blue umbrella in the sea,cc/validation/8853_178360316,imagenet170,umbrella
broken umbrella after the rain lost by someone,cc/validation/8853_178360316,imagenet170,umbrella
a man jumping and dancing with an umbrella outside,cc/validation/8853_178360316,imagenet170,umbrella
family posing with an umbrella,cc/validation/8853_178360316,imagenet170,umbrella
umbrella with floral design used as a lamp shade inside a home living room,cc/validation/8853_178360316,imagenet170,umbrella
kelley anniversary photoshoot on rainy autumn fall day with umbrella,cc/validation/8853_178360316,imagenet170,umbrella
colorful owls with umbrella sitting on the branch and flying birds on a white background,cc/validation/8853_178360316,imagenet170,umbrella
beautiful girl in wet dress is dancing in the rain and sunlight holding umbrella .,cc/validation/8853_178360316,imagenet170,umbrella
a man holding an umbrella and wrapped in a blue blanket stands in the mountains,cc/validation/8853_178360316,imagenet170,umbrella
wet red umbrella after the rain,cc/validation/8853_178360316,imagenet170,umbrella
business woman holding an umbrella .,cc/validation/8853_178360316,imagenet170,umbrella
monarch sits under an umbrella in heavy rain at the unveiling of the memorial statue to her father,cc/validation/8853_178360316,imagenet170,umbrella
the picture red umbrella with snow inside on white background,cc/validation/8853_178360316,imagenet170,umbrella
couple stands under the colored umbrella on a wet street,cc/validation/8853_178360316,imagenet170,umbrella
young couple with umbrella in the rain,cc/validation/8853_178360316,imagenet170,umbrella
sculpture of person under umbrella with water falling from the top,cc/validation/8853_178360316,imagenet170,umbrella
young man with an umbrella,cc/validation/8853_178360316,imagenet170,umbrella
"woman with an umbrella , ca .",cc/validation/8853_178360316,imagenet170,umbrella
colorful owls with umbrella sitting on the branch and flying birds on a white background,cc/validation/8853_178360316,imagenet170,umbrella
a woman struggles to keep her umbrella under control,cc/validation/8853_178360316,imagenet170,umbrella
"little girl in a raincoat with umbrella standing , walking and running in the rain , cartoon style vector illustration isolated on white background .",cc/validation/8853_178360316,imagenet170,umbrella
person held an umbrella over his mother 's head as the family made their way along a path to the church .,cc/validation/8853_178360316,imagenet170,umbrella
water splash in the form of an umbrella .,cc/validation/8853_178360316,imagenet170,umbrella
young happy woman with an umbrella dancing in the rain,cc/validation/8853_178360316,imagenet170,umbrella
woman holding onto her umbrella which has blown inside out in a high wind,cc/validation/8853_178360316,imagenet170,umbrella
the opened red umbrella on rainy dark background,cc/validation/8853_178360316,imagenet170,umbrella
side view of a woman walking with umbrella against clouds on windy day,cc/validation/8853_178360316,imagenet170,umbrella
"cute little boy holding an umbrella , water drops coming out from blue sky .",cc/validation/8853_178360316,imagenet170,umbrella
girl with umbrella standing under the rain,cc/validation/8853_178360316,imagenet170,umbrella
little ladybugs with umbrella walking on the grass .,cc/validation/8853_178360316,imagenet170,umbrella
"business man holding umbrella alone on the sea , sailing with paper boat .",cc/validation/8853_178360316,imagenet170,umbrella
little girl playing in the snow with an umbrella,cc/validation/8853_178360316,imagenet170,umbrella
couple stands under the colored umbrella on a wet street,cc/validation/8853_178360316,imagenet170,umbrella
see your logo or message on this transparent umbrella .,cc/validation/8853_178360316,imagenet170,umbrella
